gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,developmental_stage,condition
GSE93421,GSM2453093,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453094,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453095,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453096,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453097,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453098,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453099,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453100,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453101,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453102,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453103,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453104,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453105,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453106,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453107,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453108,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453109,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453110,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453111,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453112,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453113,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453114,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453115,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453116,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453117,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453118,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453119,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453120,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453121,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453122,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453123,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453124,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453125,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453126,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453127,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453128,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453129,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453130,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453131,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453132,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453133,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453134,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453135,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453136,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453137,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453138,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453139,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453140,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453141,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453142,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453143,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453144,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453145,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453146,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453147,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453148,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453149,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453150,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453151,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453152,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453153,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453154,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453155,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453156,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453157,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453158,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453159,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453160,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453161,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453162,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453163,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453164,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453165,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453166,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453167,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453168,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453169,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453170,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453171,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453172,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453173,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453174,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453175,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
