gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,gender
GSE109447,GSM2943125,Ventricular-Subventricular Zone,Mus musculus,NONE,Ventricular-Subventricular Zone (V-SVZ) cells,Male
GSE109447,GSM2943126,Ventricular-Subventricular Zone,Mus musculus,NONE,Ventricular-Subventricular Zone (V-SVZ) cells,Male
GSE109447,GSM2943127,Ventricular-Subventricular Zone,Mus musculus,NONE,Ventricular-Subventricular Zone (V-SVZ) cells,Female
GSE109447,GSM2943128,Ventricular-Subventricular Zone,Mus musculus,NONE,Ventricular-Subventricular Zone (V-SVZ) cells,Female
GSE109447,GSM3310464,Ventricular-Subventricular Zone,Mus musculus,NONE,Ventricular-Subventricular Zone (V-SVZ) cells,Male
GSE109447,GSM3310465,Ventricular-Subventricular Zone,Mus musculus,NONE,Ventricular-Subventricular Zone (V-SVZ) cells,Male
GSE109447,GSM3310466,Ventricular-Subventricular Zone,Mus musculus,NONE,Ventricular-Subventricular Zone (V-SVZ) cells,Female
GSE109447,GSM3310467,Ventricular-Subventricular Zone,Mus musculus,NONE,Ventricular-Subventricular Zone (V-SVZ) cells,Female
