gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,gender,age,tissue
GSE116470,GSM3239579,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Cerebellum
GSE116470,GSM3239580,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Cerebellum
GSE116470,GSM3239581,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Cerebellum
GSE116470,GSM3239582,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Cerebellum
GSE116470,GSM3239583,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Cerebellum
GSE116470,GSM3239584,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Cerebellum
GSE116470,GSM3239585,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Cerebellum
GSE116470,GSM3239586,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239587,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239588,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239589,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239590,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239591,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239592,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239593,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239594,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239595,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239596,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239597,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239598,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239599,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239600,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239601,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239602,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239603,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239604,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239605,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239606,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Frontal Cortex
GSE116470,GSM3239607,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239608,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239609,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239610,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239611,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239612,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239613,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239614,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239615,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239616,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239617,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239618,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239619,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Posterior Cortex
GSE116470,GSM3239620,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Entopeduncular/Subthalamic Nuclei
GSE116470,GSM3239621,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Entopeduncular/Subthalamic Nuclei
GSE116470,GSM3239622,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Entopeduncular/Subthalamic Nuclei
GSE116470,GSM3239623,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239624,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239625,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239626,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239627,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239628,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239629,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239630,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239631,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239632,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239633,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239634,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,GlobusPallidus Externus/Nucleus Basalis
GSE116470,GSM3239635,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239636,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239637,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239638,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239639,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239640,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239641,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239642,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239643,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239644,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239645,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239646,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239647,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239648,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239649,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239650,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Hippocampus
GSE116470,GSM3239651,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Striatum
GSE116470,GSM3239652,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Striatum
GSE116470,GSM3239653,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Striatum
GSE116470,GSM3239654,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Striatum
GSE116470,GSM3239655,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Striatum
GSE116470,GSM3239656,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Striatum
