gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,supplementary_file_3,tissue,developmental_stage
GSE130708,GSM3748086,E18 brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3748nnn/GSM3748086/suppl/GSM3748086_190c_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3748nnn/GSM3748086/suppl/GSM3748086_190c_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3748nnn/GSM3748086/suppl/GSM3748086_190c_matrix.mtx.gz,"Cortex, hippocampus and sub ventricular zone",E18
GSE130708,GSM3748088,E18 brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3748nnn/GSM3748088/suppl/GSM3748088_951c_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3748nnn/GSM3748088/suppl/GSM3748088_951c_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3748nnn/GSM3748088/suppl/GSM3748088_951c_matrix.mtx.gz,"Cortex, hippocampus and sub ventricular zone",E18
