gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,supplementary_file_3,tissue
GSE145708,GSM4331291,TNFtg,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4331nnn/GSM4331291/suppl/GSM4331291_X227554_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4331nnn/GSM4331291/suppl/GSM4331291_X227554_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4331nnn/GSM4331291/suppl/GSM4331291_X227554_matrix.mtx.gz,Brain Cortex
GSE145708,GSM4331292,WT,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4331nnn/GSM4331292/suppl/GSM4331292_X227553_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4331nnn/GSM4331292/suppl/GSM4331292_X227553_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4331nnn/GSM4331292/suppl/GSM4331292_X227553_matrix.mtx.gz,Brain Cortex
