gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,age
GSE123024,GSM3491239,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491240,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491241,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491242,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491243,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491244,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491245,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491246,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491247,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491248,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491249,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491250,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491251,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491252,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491253,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491254,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491255,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491256,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491257,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491258,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491259,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491260,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491261,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491262,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491263,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491264,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491265,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491266,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491267,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491268,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491269,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491270,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491271,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491272,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491273,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491274,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491275,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491276,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491277,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491278,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491279,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491280,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491281,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491282,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491283,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491284,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491285,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491286,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491287,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491288,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491289,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491290,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491291,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491292,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491293,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491294,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491295,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491296,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491297,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491298,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491299,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491300,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491301,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491302,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491303,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491304,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491305,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491306,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491307,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491308,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491309,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491310,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491311,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491312,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491313,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491314,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491315,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491316,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491317,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491318,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491319,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491320,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491321,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491322,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491323,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491324,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491325,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491326,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491327,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491328,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491329,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491330,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491331,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491332,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491333,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491334,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491335,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491336,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491337,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491338,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491339,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491340,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491341,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491342,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491343,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491344,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491345,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491346,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491347,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491348,Microglia,Mus musculus,NONE,CB,P7
GSE123024,GSM3491349,Microglia,Mus musculus,NONE,CB,P7
