gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue
GSE101601,GSM2708823,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708824,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708825,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708826,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708827,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708828,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708829,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708830,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708831,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708832,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708833,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708834,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708835,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708836,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708837,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708838,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708839,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708840,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708841,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708842,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708843,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708844,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708845,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708846,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
