gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,supplementary_file_3,tissue,age,sex
GSE208292,GSM6340266,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6340nnn/GSM6340266/suppl/GSM6340266_F03PBSBC_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6340nnn/GSM6340266/suppl/GSM6340266_F03PBSBC_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6340nnn/GSM6340266/suppl/GSM6340266_F03PBSBC_matrix.mtx.gz,Brain,3 months,female
GSE208292,GSM6340267,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6340nnn/GSM6340267/suppl/GSM6340267_F24PBSBC_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6340nnn/GSM6340267/suppl/GSM6340267_F24PBSBC_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6340nnn/GSM6340267/suppl/GSM6340267_F24PBSBC_matrix.mtx.gz,Brain,24 months,female
