gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,tissue,age
GSE207848,GSM6321073,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321073/suppl/GSM6321073_PFC_4wk_1_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321073/suppl/GSM6321073_PFC_4wk_1_matrix.h5,Brain,4 weeks old
GSE207848,GSM6321074,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321074/suppl/GSM6321074_PFC_4wk_2_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321074/suppl/GSM6321074_PFC_4wk_2_matrix.h5,Brain,4 weeks old
GSE207848,GSM6321075,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321075/suppl/GSM6321075_PFC_4wk_3_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321075/suppl/GSM6321075_PFC_4wk_3_matrix.h5,Brain,4 weeks old
GSE207848,GSM6321076,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321076/suppl/GSM6321076_PFC_4wk_4_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321076/suppl/GSM6321076_PFC_4wk_4_matrix.h5,Brain,4 weeks old
GSE207848,GSM6321077,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321077/suppl/GSM6321077_PFC_90wk_1_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321077/suppl/GSM6321077_PFC_90wk_1_matrix.h5,Brain,90 weeks old
GSE207848,GSM6321078,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321078/suppl/GSM6321078_PFC_90wk_2_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321078/suppl/GSM6321078_PFC_90wk_2_matrix.h5,Brain,90 weeks old
GSE207848,GSM6321079,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321079/suppl/GSM6321079_PFC_90wk_3_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321079/suppl/GSM6321079_PFC_90wk_3_matrix.h5,Brain,90 weeks old
GSE207848,GSM6321080,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321080/suppl/GSM6321080_PFC_90wk_4_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6321nnn/GSM6321080/suppl/GSM6321080_PFC_90wk_4_matrix.h5,Brain,90 weeks old
