gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,supplementary_file_3,developmental_stage,tissue
GSE165388,GSM5032680,human fetal tissue,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032680/suppl/GSM5032680_GW9_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032680/suppl/GSM5032680_GW9_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032680/suppl/GSM5032680_GW9_matrix.mtx.gz,geatational week 9,Subpallium of fetal brain
GSE165388,GSM5032681,human fetal tissue,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032681/suppl/GSM5032681_GW10_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032681/suppl/GSM5032681_GW10_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032681/suppl/GSM5032681_GW10_matrix.mtx.gz,geatational week 10,Subpallium of fetal brain
GSE165388,GSM5032682,human fetal tissue,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032682/suppl/GSM5032682_GW11_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032682/suppl/GSM5032682_GW11_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032682/suppl/GSM5032682_GW11_matrix.mtx.gz,geatational week 11,Subpallium of fetal brain
GSE165388,GSM5032683,human fetal tissue,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032683/suppl/GSM5032683_GW12_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032683/suppl/GSM5032683_GW12_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5032nnn/GSM5032683/suppl/GSM5032683_GW12_matrix.mtx.gz,geatational week 12,Subpallium of fetal brain
