gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,brain_region,reporter
GSE71585,GSM1840219,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840220,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840221,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840222,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840223,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840224,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840225,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840226,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840227,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840228,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840229,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840230,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840231,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840232,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840233,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840234,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840235,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840236,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840237,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840238,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840239,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840240,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840241,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840242,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
