gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,developmental_stage,gender
GSE104276,GSM2884081,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884081/suppl/GSM2884081_GW23_PFC1_2.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,23 weeks after gestation,male
GSE104276,GSM2884082,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884082/suppl/GSM2884082_GW23_PFC1_3.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,23 weeks after gestation,male
GSE104276,GSM2884083,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884083/suppl/GSM2884083_GW26_PFC1_10.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,26 weeks after gestation,female
GSE104276,GSM2884084,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884084/suppl/GSM2884084_GW26_PFC1_1.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,26 weeks after gestation,female
GSE104276,GSM2884085,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884085/suppl/GSM2884085_GW26_PFC1_2.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,26 weeks after gestation,female
GSE104276,GSM2884086,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884086/suppl/GSM2884086_GW26_PFC1_3.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,26 weeks after gestation,female
GSE104276,GSM2884087,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884087/suppl/GSM2884087_GW26_PFC1_4.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,26 weeks after gestation,female
GSE104276,GSM2884088,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884088/suppl/GSM2884088_GW26_PFC1_5.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,26 weeks after gestation,female
GSE104276,GSM2884089,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884089/suppl/GSM2884089_GW26_PFC1_6.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,26 weeks after gestation,female
GSE104276,GSM2884090,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884090/suppl/GSM2884090_GW26_PFC1_7.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,26 weeks after gestation,female
GSE104276,GSM2884091,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884091/suppl/GSM2884091_GW26_PFC1_8.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,26 weeks after gestation,female
GSE104276,GSM2884092,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884092/suppl/GSM2884092_GW26_PFC1_9.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,26 weeks after gestation,female
GSE104276,GSM2970391,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2970nnn/GSM2970391/suppl/GSM2970391_GW23_PFC2_1.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,week gestation,female
GSE104276,GSM2970392,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2970nnn/GSM2970392/suppl/GSM2970392_GW23_PFC2_2.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,week gestation,female
GSE104276,GSM2970393,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2970nnn/GSM2970393/suppl/GSM2970393_GW23_PFC2_3.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,week gestation,female
GSE104276,GSM2970394,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2970nnn/GSM2970394/suppl/GSM2970394_GW23_PFC2_4.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,week gestation,female
GSE104276,GSM2970395,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2970nnn/GSM2970395/suppl/GSM2970395_GW23_PFC2_5.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,week gestation,female
