gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,sex,tissue
GSE126836,GSM3615014,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615015,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615016,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615017,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615018,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615019,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615020,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615021,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615022,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615023,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615024,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615025,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615026,Bed nucleus of the stria terminalis,Mus musculus,NONE,Female,Bed nucleus of the stria terminalis
GSE126836,GSM3615027,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615028,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615029,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615030,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615031,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615032,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615033,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615034,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615035,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615036,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615037,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615038,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615039,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
GSE126836,GSM3615040,Bed nucleus of the stria terminalis,Mus musculus,NONE,Male,Bed nucleus of the stria terminalis
