gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age
GSE129114,GSM3693442,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693443,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693444,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693445,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693446,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693447,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693448,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693449,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693450,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693451,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693452,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693453,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693454,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693455,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693456,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693457,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693458,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693459,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693460,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693461,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693462,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693463,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693464,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693465,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693466,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693467,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693468,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693469,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693470,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693471,neural crest and neural tube,Mus musculus,NONE,E9.5
GSE129114,GSM3693472,neural crest and neural tube,Mus musculus,NONE,E9.5
