gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age
GSE104323,GSM2795314,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795315,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795316,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795317,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795318,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795319,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795320,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795321,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795322,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795323,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795324,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795325,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795326,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795327,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795328,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795329,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795330,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795331,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795332,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795333,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795334,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795335,dentate gyrus,Mus musculus,NONE,P132
GSE104323,GSM2795336,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795337,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795338,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795339,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795340,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795341,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795342,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795343,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795344,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795345,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795346,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795347,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795348,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795349,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795350,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795351,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795352,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795353,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795354,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795355,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795356,dentate gyrus,Mus musculus,NONE,P18
