gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,disease_state
GSE138852,GSM4120422,Entorhinal Cortex of aged AD individuals,Homo sapiens,NONE,Entorhinal Cortex,AD
GSE138852,GSM4120423,Entorhinal Cortex of aged AD individuals,Homo sapiens,NONE,Entorhinal Cortex,AD
GSE138852,GSM4120424,Entorhinal Cortex of aged AD individuals,Homo sapiens,NONE,Entorhinal Cortex,AD
GSE138852,GSM4120425,Entorhinal Cortex of aged Healthy individuals,Homo sapiens,NONE,Entorhinal Cortex,control
GSE138852,GSM4120426,Entorhinal Cortex of aged Healthy individuals,Homo sapiens,NONE,Entorhinal Cortex,control
GSE138852,GSM4120427,Entorhinal Cortex of aged Healthy individuals,Homo sapiens,NONE,Entorhinal Cortex,control
GSE138852,GSM4120428,Entorhinal Cortex of aged Healthy individuals,Homo sapiens,NONE,Entorhinal Cortex,control
GSE138852,GSM4120429,Entorhinal Cortex of aged AD individuals,Homo sapiens,NONE,Entorhinal Cortex,AD
