gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,age
GSE123025,GSM3491382,Brain myeloid cell,Mus musculus,NONE,HIP,P60
GSE123025,GSM3491383,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491384,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491385,Brain myeloid cell,Mus musculus,NONE,HIP,P60
GSE123025,GSM3491386,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491387,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491388,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491389,Brain myeloid cell,Mus musculus,NONE,HIP,P60
GSE123025,GSM3491390,Brain myeloid cell,Mus musculus,NONE,HIP,P60
GSE123025,GSM3491391,Brain myeloid cell,Mus musculus,NONE,CB,P60
GSE123025,GSM3491392,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491393,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491394,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491395,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491396,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491397,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491398,Brain myeloid cell,Mus musculus,NONE,CB,P60
GSE123025,GSM3491399,Brain myeloid cell,Mus musculus,NONE,CB,P60
GSE123025,GSM3491400,Brain myeloid cell,Mus musculus,NONE,CB,P60
GSE123025,GSM3491401,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491402,Brain myeloid cell,Mus musculus,NONE,HIP,P60
GSE123025,GSM3491403,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491404,Brain myeloid cell,Mus musculus,NONE,HIP,P60
GSE123025,GSM3491405,Brain myeloid cell,Mus musculus,NONE,CB,P60
GSE123025,GSM3491406,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491407,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491408,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491409,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491410,Brain myeloid cell,Mus musculus,NONE,HIP,P60
GSE123025,GSM3491411,Brain myeloid cell,Mus musculus,NONE,HIP,P60
GSE123025,GSM3491412,Brain myeloid cell,Mus musculus,NONE,HIP,P60
GSE123025,GSM3491413,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491414,Brain myeloid cell,Mus musculus,NONE,HIP,P60
GSE123025,GSM3491415,Brain myeloid cell,Mus musculus,NONE,HIP,P60
GSE123025,GSM3491416,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491417,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491418,Brain myeloid cell,Mus musculus,NONE,OB,P60
GSE123025,GSM3491419,Brain myeloid cell,Mus musculus,NONE,OB,P60
